Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Emons;;LS26878;ja;21.12.2021;Josefine Mättig;22370;NORDIC BOWLS GmbH;NORDIC BOWLS GmbH;Hauptstraße 47D;18211;Admannshagen-Bargeshagen;;;;
STK Service;30650;LS26616.;ja;21.12.2021;Rene Kühn;22333;Trapo AG;TRAPO AG;Industriestraße 1;48712;Gescher-Hochmoor;;;;
Planegg;;LS26880;ja;21.12.2021;Josefine Mättig;22371;Astrid Geiermann;Astrid Geiermann;Martin-Hoffmann-Str. 7f;12435;Berlin;;;;
Emons;31265;LS26881;ja;21.12.2021;Josefine Mättig;10133;Veolia Industrie Deutschl;Veolia Industrie Deutschland GmbH;Zweibrückenstraße 15-25;91301;Forchheim;;;;
Planegg;31266;LS26882;ja;21.12.2021;Sönke Rocho;21818;Stips;Michael Stips;Falkenstr. 28;82166;Gräfelfing;;;;
Planegg;31267;LS26883;ja;21.12.2021;Rene Kühn;21141;Rene Kühn;René Kühn;Anton-Barth-Weg 1;81245;München;;;;
Kyffhäuser;31269;LS26884;ja;21.12.2021;Rene Kühn;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;6556;Artern;;;;
Planegg;31270;LS26885;ja;21.12.2021;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;31271;LS26886;ja;22.12.2021;Florian Gräf;20693;Harms & Steder Handelsges;Harms & Steder Handelsgesellschaft mbH;Hansestraße 19;18182;Bentwisch;;;;
Planegg;;LS26887;ja;22.12.2021;Josefine Mättig;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Strecke;31273;LS26888;ja;21.12.2021;Florian Gräf;20299;GWA;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
Planegg;;LS26889;ja;21.12.2021;Sönke Rocho;20128;Avendi GmbH;Avendi GmbH;Alpspitzstraße 4;82131;Stockdorf;;;;
Planegg;31276;LS26891;ja;22.12.2021;Sönke Rocho;20483;Haar Ekspres Boztepe GmbH;Haar Ekspres Boztepe GmbH;Schützenstraße 1/ Eingang Bayerstrasse;80335;München;;;;
Planegg;31278;LS26893;ja;22.12.2021;Petra Gräf;21579;TraXall;TraXall Germany;Keltenring 15;82041;Oberhaching;;;;
Planegg;31280;LS26894;ja;22.12.2021;Florian Gräf;21537;Globus;Globus Limburg;Mundipharmastraße 1;65549;Limburg;;;;
Planegg;31279;LS26895;ja;22.12.2021;Rene Kühn;21800;Cullhaj;Klajdi Cullhaj;Merckstr. 3;82362;Weilheim;;;;
Dolphin; Bonstetten;;LS26896;ja;13.12.2021;Rene Kühn;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;
Planegg;31284;LS26897;ja;22.12.2021;Josefine Mättig;21221;aqua-global;aqua-global GmbH;Ludwig-Erhard-Str. 19;33397;Rietberg;;;;
Planegg;31285;LS26898;ja;22.12.2021;Sönke Rocho;22350;Michael Hercog;Michael Hercog;Georg-Angermair-Str. 8;81245;München;;;;
Planegg;31286;LS26899;ja;22.12.2021;Petra Gräf;20148;KPIT Technologies GmbH;KPIT Technologies GmbH;Frankfurter Ring 105b;80807;München;;;;
Planegg;;LS26900;ja;22.12.2021;Josefine Mättig;22372;Angelika Siebenlist;Angelika Siebenlist;Hauptstraße 7a;97791;Obersinn;;;;
Planegg;31289;LS26901;ja;22.12.2021;Josefine Mättig;22373;Felix Bonstein;Felix Bonstein;Bänschstraße 79;10247;Berlin;;;;
Kyffhäuser;31290;LS26902;ja;22.12.2021;Rene Kühn;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;6556;Artern;;;;
Planegg;31292;LS26903;ja;22.12.2021;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;;LS26904;ja;22.12.2021;Josefine Mättig;21787;Markus Angerlehner;Markus Angerlehner;Neudorfer Straße 11;4614;Marchtrenk;;;;
Planegg;31294;LS26905;ja;22.12.2021;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;31295;LS26906;ja;22.12.2021;Sönke Rocho;22358;Highent Kohlfürst;HIGHENT Messe- und Eventagentur e.U.;Annenstraße 46 /3;8020;Graz;;;;
Planegg;;LS26908;ja;22.12.2021;Petra Gräf;22374;Copperhead;Copperhead Industrial GmbH;Prieler Str. 20a;85232;Bergkirchen;;;;
Planegg;30723;LS26909;ja;22.12.2021;Petra Gräf;22190;Apleona Lufthansa;Apleona HSG Südost GmbH;Terminalstraße Mitte Nr. 28 / Anlieferhof;85356;München - Flughafen;;;;
Planegg;30725;LS26910;ja;16.12.2021;Petra Gräf;22190;Apleona Lufthansa;Apleona HSG Südost GmbH;Terminalstraße Mitte Nr. 28 / Anlieferhof;85356;München - Flughafen;;;;
Strecke;30139;LS26911;ja;23.12.2021;Josefine Mättig;22301;Max Bringmann KG;Max Bringmann KG;Johann-Höllfritsch-Str. 37;90530;Wendelstein;;;;
Strecke;30458;LS26912;ja;23.12.2021;Josefine Mättig;20342;Johner Aqua Team;Johner Aqua Team;Am Stollen 1/1;79261;Gutach;;;;
Strecke;31299;LS26913;ja;23.12.2021;Josefine Mättig;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Planegg;31300;LS26914;ja;23.12.2021;Josefine Mättig;22367;Manfred Schulze Daniel;Manfred Schulze Daniel;Akazienweg 6;6895;Zahna-Elster OT Elster;;;;
Planegg;;LS26915;ja;23.12.2021;Sönke Rocho;20105;Ernst Echter; Weilheim;Ernst Echter GmbH & Co.KG;Rathausplatz 9-11;82362;Weilheim;;;
Strecke;31299;LS26916;ja;23.12.2021;Rene Kühn;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Planegg;31302;LS26917;ja;23.12.2021;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;31303;LS26918;ja;23.12.2021;Sönke Rocho;21800;Cullhaj;Klajdi Cullhaj;Merckstr. 3;82362;Weilheim;;;;
Planegg;31304;LS26919;ja;27.12.2021;Rene Kühn;22345;LKC Grünwald GmbH & Co. KG;LKC Grünwald GmbH & Co. KG;Possartstrasse 21;81679;München;;;;
STK Service;30808;LS26783.;ja;27.12.2021;Rene Kühn;22104;KITA Spatzennest;KITA Spatzennest;Eibenweg 5d;47906;Kempen;;;;
Strecke;30642;LS26922;ja;27.12.2021;Rene Kühn;20354;SC Aquador SRL;SC Aquador SRL;Str. X Nr. 27;557085;Cristian; jud.Sibiu;;;
Planegg;31305;LS26923;ja;27.12.2021;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;31306;LS26924;ja;27.12.2021;Rene Kühn;20128;Avendi GmbH;Avendi GmbH;Alpspitzstraße 4;82131;Stockdorf;;;;
Strecke;;LS26925;ja;28.12.2021;Rene Kühn;20254;Hoellinger;Culligan Deutschland GmbH;Eichenstrasse 18;65933;Frankfurt am Main;;;;
Strecke;31308;LS26926;ja;28.12.2021;Rene Kühn;21876;Culligan Deutschland;Culligan Deutschland GmbH;Eichenstr. 18;65933;Frankfurt;;;;
Planegg;;LS26927;ja;28.12.2021;Rene Kühn;22375;Patrick Raymond;Patrick Raymond;43 avenue de la Commune de Paris;920000;nanterre; hauts de seine;;;
Planegg;30750;LS26720.;ja;29.12.2021;Rene Kühn;21944;Die Hausärzte im Policenter;Die Hausärzte im Policenter;Oßwaldstr. 1;82319;Starnberg;;;;
Planegg;31277;LS26892.;ja;29.12.2021;Rene Kühn;20148;KPIT Technologies GmbH;KPIT Technologies GmbH;Frankfurter Ring 105b;80807;München;;;;
Aquatwins;27377;LS26931;ja;29.12.2021;Petra Gräf;22081;Malte Jurgons;Malte Jurgons;Schulstr. 50;25368;Kiebitzreihe;;;;
Planegg;31320;LS26932;ja;03.01.2022;Josefine Mättig;22383;Mark Hawkes;Mark Hawkes;1734 Route de Queyssel;47330;Lalandusse;;;;
Planegg;31321;LS26933;ja;03.01.2022;Josefine Mättig;22384;Rodolphe Moti;Rodolphe Moti;1 B Rue Ricord;77840;Crouy Sur Ourcq;;;;
Planegg;31322;LS26934;ja;03.01.2022;Josefine Mättig;22385;Benjamin Stiedl;Benjamin Stiedl;Hauptstrasse 32;9509;Pockau-Lengefeld OT Forchheim;;;;
Planegg;31323;LS26935;ja;03.01.2022;Josefine Mättig;22386;Dietmar Lang;Dietmar Lang;Königseggwalderstrasse 10;88374;Hoßkirch;;;;
Planegg;31324;LS26936;ja;03.01.2022;Josefine Mättig;22387;Habip Demir;Habip Demir;Deisterstr. 68;30449;Hannover;;;;
Planegg;31325;LS26937;ja;03.01.2022;Josefine Mättig;22388;Sandra Kuss;Sandra Kuss;Starenweg 5;23611;Bad Schwartau;;;;
Planegg;31326;LS26938;ja;03.01.2022;Josefine Mättig;22389;Jan-Niklas Pusztai;Jan-Niklas Pusztai;Hauptstr. 42;56370;Allendorf;;;;
Planegg;31328;LS26940;ja;20.01.2022;Florian Gräf;22195;MVZ Neumaier Regensburg;MVZ Dr. Neumaier & Kollegen;Bahnhofstraße 24 - Erdgeschoss;93047;Regensburg;;;;
Planegg;;LS26941;ja;03.01.2022;Josefine Mättig;22315;NatureOn;SysPAC IT Solutions GmbH;Auf der Appeling 6;35043;Marburg;;;;
Planegg;31329;LS26942;ja;03.01.2022;Sönke Rocho;21663;Electrochaea;Electrochaea GmbH;Semmelweisstraße 3;82152;Planegg-Steinkirchen;;;;
Emons;31331;LS26944;ja;03.01.2022;Josefine Mättig;21982;Amazon Deutschland N3 Trans.;Amazon Deutschland N3 Transport GmbH;Winkelhörner Weg 5;24794;Borgstedt;;;;
Planegg;31332;LS26945;ja;03.01.2022;Florian Gräf;10034;ewatec;ewatec e.K.;Am Werkhaus 18;87480;Weitnau;;;;
Planegg;31334;LS26947;ja;03.01.2022;Florian Gräf;22390;Dingwerkstatt;Dingwerkstatt;Vordere Schulgasse 20;91217;Hersbruck;;;;
Teamblue Bad Münder;31335;LS26948;ja;07.01.2022;Florian Gräf;21791;Dallmayr Berlin;Alois Dallmayr Aut. Service GmbH;Seestr. 22;14974;Ludwigsfelde;;;;
Planegg;31337;LS26950;ja;03.01.2022;Sönke Rocho;20148;KPIT Technologies GmbH;KPIT Technologies GmbH;Frankfurter Ring 105b;80807;München;;;;
Emons;;LS26951;ja;07.01.2022;Josefine Mättig;10015;General Beverage S.r.L.;General Beverage S.r.L.;Zone Industriale P.I.P. Ioc. Novoleto;54027;Pontremoli (MS);;;;
Emons;30806;LS26780.;ja;20.02.2022;Rene Kühn;20577;Schankanlagenfachbetrieb Karow;Schankanlagenfachbetrieb;Dr.-Heinrich-Jasper-Str. 31;38667;Bad Harzburg;;;;
Planegg;30824;LS26796.;ja;03.01.2022;Rene Kühn;22356;Michael Strupp;Michael Strupp;Gstaller Weg 30a;82166;Gräfelfing;;;;
Emons;30838;LS26814.;ja;03.01.2022;Rene Kühn;21843;Schön Klinik Bad Staffelstein;Schön Klinik Bad Staffelstein SE & Co. KG;Am Kurpark 11;96231;Bad Staffelstein;;;;
Planegg;30938;LS26826.;ja;10.01.2022;Rene Kühn;20729;CJM Der Wassermann UG -ha;CJM Der Wassermann UG -haftungsbeschränkt-;Gronenfelder Weg 33;15234;Frankfurt;;;;
Emons;30898;LS26833.;ja;03.01.2022;Rene Kühn;20587;Getränke-Service Neumann;Getränke-Service Neumann;Batzenbergstraße 5;79238;Ehrenkirchen;;;;
Strecke;31054;LS26834.;ja;03.02.2022;Rene Kühn;21306;Flughafen München;Munich Airport International GmbH;Nordallee 25;85326;München-Flughafen;;;;
Planegg;31150;LS26848.;ja;03.04.2022;Rene Kühn;20481;Irrgang -Ch;Christian Irrgang;Marbachstr. 19;81369;München;;;;
Emons;31275;LS26890.;ja;03.01.2022;Rene Kühn;20381;The Water Purifier NV;The Water Purifier NV;Genebroekstraat 82;3581;Beverlo;;;;
Planegg;29082;LS25964.;ja;03.02.2022;Rene Kühn;20588;sweet spot kaffee;sweet spot kaffee;Heiliggeiststraße 1;80331;München;;;;
Planegg;28004;LS25731.;ja;01.02.2022;Rene Kühn;20315;Peter Goetz GmbH;Peter Goetz GmbH;Grünaustraße 5;30455;Hannover;;;;
Planegg;30266;LS26535.;ja;03.01.2022;Rene Kühn;20298;Atlantis;Atlantis Trinkwassertechnik GmbH;Kornstr. 4;79258;Hartheim;;;;
Planegg;28987;LS25861.;ja;09.02.2022;Rene Kühn;21134;Automaten Reinhardt - Nürnberg;Automaten Reinhardt;Schönseer Straße 2;90482;Nürnberg;;;;
Emons;30211;LS26474.;ja;15.02.2022;Rene Kühn;20381;The Water Purifier NV;The Water Purifier NV;Genebroekstraat 82;3581;Beverlo;;;;
Emons;30837;LS26813.;ja;24.02.2022;Rene Kühn;20957;Vogel;Automatenservice Vogel GmbH;Am Flugplatz 42; Geb.17;56743;Mendig;;;
Planegg;30208;LS26516.;ja;05.01.2022;Rene Kühn;22277;Florian Schmutz;Florian Schmutz;Lessingstraße 4;72631;Aichtal;;;;
Emons;30178;LS26440.;ja;03.01.2022;Rene Kühn;20759;Getränke Wagner Vending G;Getränke Wagner Vending GmbH;Weinstraße 31;4664;Laakirchen;;;;
Emons;31174;LS26858.;ja;04.02.2022;Rene Kühn;20671;Automaten Terres;Automaten Terres;Langwies 9;54296;Trier;;;;
Planegg;28008;LS26646.;ja;13.01.2022;Rene Kühn;20298;Atlantis;Atlantis Trinkwassertechnik GmbH;Kornstr. 4;79258;Hartheim;;;;
Planegg;31343;LS26983;ja;05.01.2022;Sönke Rocho;22194;Happy Lini GmbH;Wichtelwerk;Bertha-Kipfmüller-Str. 44;81249;München;;;;
Planegg;28148;LS26984;ja;11.01.2022;Rene Kühn;21765;Karolinen-Gymnasium;Karolinen-Gymnasium;Ebersbergerstr. 3;83022;Rosenheim;;;;
STK Service;31344;LS26985;ja;04.01.2022;Florian Gräf;20208;Hotshot Kaffee e. K.;Total Safety GmbH;Kerkrader Straße / TOR 2;50997;Köln;;;;
Planegg;31345;LS26986;ja;04.01.2022;Josefine Mättig;22391;Loredana Carbone;Loredana Carbone;Bremerhof 27;66352;Grossrosseln;;;;
Planegg;31346;LS26987;ja;04.01.2022;Petra Gräf;22128;Impfzentrum Wolfratsh.+Tölz;Impfzentrum Wolfratshausen;Gepard Str. 2;82515;Wolfratshausen;;;;
Planegg;;LS26988;ja;04.01.2022;Josefine Mättig;20248;WasserfilterZentrum Ladenkiste;Ladenkiste UG (haftungsbeschränkt);Bahnhofstr. 8;34286;Spangenberg;;;;
Planegg;31347;LS26989;ja;04.01.2022;Petra Gräf;22128;Impfzentrum Wolfratsh.+Tölz;Impfzentrum Bad Tölz;Schützenstr. 19;83646;Bad Tölz;;;;
Planegg;;LS26990;ja;04.01.2022;Josefine Mättig;10102;Steinmeier GmbH;Arvato Supply Chain Solutions SE  Consumer P;Lösnitz Mark 21;6780;Großzöberitz-Heideloh;;;;
Strecke;30736;LS26706.;ja;04.01.2022;Josefine Mättig;21312;BLANCO GmbH;Lang Industrie Dienst GmbH;Bremer Straße 12 - 14;69181;Leimen;;;;
Planegg;31350;LS26993;ja;05.01.2022;Josefine Mättig;20157;Gleichenstein & Breitling;Gleichenstein & Breitling;Rottmannstraße 11a  Rückgebäude;80333;München;;;;
Avaless Hasbergen;28172;.LS25112;ja;31.12.2021;Petra Gräf;22075;Kiel Montagebau GmbH;Covestro Deutschland AG;Fährstraße 51;25541;Brunsbüttel;;;;
Avaless Hasbergen;28956;.LS25825;ja;31.12.2021;Petra Gräf;21991;RT DE Productions GmbH;Fernsehwerft;Stralauer Allee 7;10245;Berlin;;;;
Planegg;31351;LS26997;ja;05.01.2022;Petra Gräf;20263;Rummelsberger Starnberg;RDA gGmbH;Waldschmidtstraße 16;82319;Starnberg;;;;
Strecke;29103;LS25985.;ja;04.01.2022;Josefine Mättig;22045;Amigo Versand GmbH & Co. KG;Amigo Versand GmbH & Co. KG;Im Sonnenschein 9;76467;Bietigheim;;;;
Planegg;31283;LS26999;ja;05.01.2022;Josefine Mättig;20235;Vites GmbH;Vites GmbH;Einsteinstraße 32;85521;Ottobrunn;;;;
Koch Rostock;25594;.LS24386;ja;21.02.2022;Petra Gräf;21981;Landhotel Rittmeister;Landhotel Rittmeister;Biestower Damm 1;18059;Rostock;;;;
VST Schörling;27147;.LS25022;ja;24.02.2022;Petra Gräf;22078;Sprachschule Aktiv;Sprachschule Aktiv;Heßstraße 90;80797;München;;;;
Schöttle - Haiterbach;31318;.LS25525;ja;17.02.2022;Petra Gräf;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen e.V.;Urbanstr. 4;73728;Esslingen;;;;
Emons;31319;LS27007;ja;04.01.2022;Petra Gräf;21583;Living Water GmbH;Schöttle Getränke-Service GbR;Nagolder Str. 16;72221;Haiterbach;;;;
Berlin Wein König;31317;LS27008;ja;25.01.2022;Petra Gräf;21352;Setting;Setting HQ UG (haftungsbeschränkt);Chorinerstr. 72;10119;Berlin;;;;
Berlin Wein König;31316;LS27009;ja;17.01.2022;Petra Gräf;21352;Setting;Setting HQ UG (haftungsbeschränkt);Rosenthaler Str. 42;10178;Berlin;;;;
Planegg;31312;LS27010;ja;05.01.2022;Petra Gräf;22378;SKI GmbH;SKI GmbH + Co.KG;Lessingstraße 9;80336;München;;;;
Planegg;31353;LS27011;ja;05.01.2022;Florian Gräf;20413;Lowescher;Lowescher Automaten Catering;Benzstraße 8;48599;Gronau;;;;
Emons;31355;LS27013;ja;05.01.2022;Josefine Mättig;21878;Amazon Deutschland E1 Trans.;Amazon Deutschland E1 Transport GmbH;Porschestraße 2-20;12107;Berlin;;;;
Planegg;29583;.LS26183;ja;26.01.2022;Petra Gräf;22029;H-tec Systems;H-TEC SYSTEMS GmbH;Am Mittleren Moos 46;86167;Augsburg;;;;
Kyffhäuser;30238;LS27017;ja;22.03.2022;Petra Gräf;22316;Elflein E-Mobility Logistik;Elflein E-Mobility Logistik Leipzig GmbH;BMW Allee 16;4356;Leipzig;;;;
Strecke;30796;.LS26770;ja;29.03.2022;Petra Gräf;22352;CISPA - Helmholtz-Zentrum;Innovationspark am Beckerturm GmbH & Co.KG;Kaiserstr. 170-174;66386;St.Ingbert;;;;
Planegg;31356;LS27020;ja;05.01.2022;Josefine Mättig;20732;Swiss-Sale.ch AG;Swiss-Sale.ch AG;Neudorferstr. 4;6313;Menzingen;;;;
Planegg;31357;LS27021;ja;07.01.2022;Josefine Mättig;21061;Brügmann;Norbert Brügmann;Moorweg 4;24896;Treia;;;;
Büro Planegg;;LS27022;ja;05.01.2022;Petra Gräf;20117;aboutwater GmbH;Matthias Herbst;Vierbergen 10c;22111;Hamburg;;;;
STK Service;30844;.LS26820;ja;03.01.2022;Petra Gräf;22222;Amentum Dülmen Tower Barracks;Amentum Services; Inc.;Tower Barracks / Tuzostr. 1;48249;Dülmen;;;
Berlin Wein König;31360;LS27025;ja;05.01.2022;Rene Kühn;21367;AKONTECH König;Welifa Getränkegroßhandlung GmbH & Co. KG;Otisstraße 45-47;13403;Berlin;;;;
Emons;31359;LS27026;ja;21.03.2022;Josefine Mättig;21732;Amazon France;Attn: Vania Garcia;Rue de Saint-Pierre sur Dives;14370;Moult;;;;
Avaless Berlin;31310;.LS26928;ja;01.02.2022;Petra Gräf;22376;Juwo - Kita gGmbh;Juwo - Kita gGmbh;Michael-Bohnen-Ring 18;12057;Berlin;;;;
Planegg;31311;LS27028;ja;10.01.2022;Petra Gräf;22377;Hotel-Gasthof Schützenhaus;Hotel-Gasthof Schützenhaus;Talhofstraße 22;82205;Gilching;;;;
Planegg;31361;LS27029;ja;21.03.2022;Josefine Mättig;21732;Amazon France;Attn: Vania Garcia;3 Avenue Jacques de Vaucanson;66600;Rivesaltes;;;;
Avaless Hasbergen;31362;LS27030;ja;10.01.2022;Josefine Mättig;21991;RT DE Productions GmbH;Fernsehwerft;Stralauer Allee 7;10245;Berlin;;;;
STK Service;29547;.LS26234;ja;10.01.2022;Petra Gräf;22198;Steinhoff Dinslaken;Steinhoff GmbH & Cie. OHG;Gerhard-Malina-Str. 65;45637;Dinslaken;;;;
Berlin Wein König;31363;LS27032;ja;05.01.2022;Petra Gräf;21927;ZD 1.1 Zentrale Dienste;ZD 1.1 Zentrale Dienste - Innerer Dienst;Salzburger Str./Anfahrt über Badensche Str.2;10825;Berlin;;;;
STK Service;31364;LS27033;ja;05.01.2022;Petra Gräf;21237;Berufstrainingszentrum BTZ;Berufstrainingszentrum Rhein-Ruhr gGmbH;Bebelstr. 56  / Tel. 0208 409400-34;-58;-59;46049;Oberhausen;;
Planegg;31366;LS27034;ja;18.01.2022;Petra Gräf;21497;Sparda München;Sparda-Bank München eG;Arnulfstr. 15;80335;München;;;;
Planegg;31365;LS27035;ja;07.01.2022;Florian Gräf;20248;WasserfilterZentrum Ladenkiste;Ladenkiste UG (haftungsbeschränkt);Bahnhofstr. 8;34286;Spangenberg;;;;
Planegg;31367;LS27036;ja;07.01.2022;Florian Gräf;20254;Hoellinger;Mercury Baustelle;Dywidagstraße Dornbach;85609;Aschheim bei München;;;;
Avaless Hasbergen;31368;LS27037;ja;07.01.2022;Josefine Mättig;22130;Animationsfabrik;Animationsfabrik GmbH;Donnerstraße 20;22763;Hamburg;;;;
Planegg;31369;LS27038;ja;07.01.2022;Florian Gräf;21680;Kaffeenobs;KaffeeNobs;Eugen-Papst-Str. 4;82110;Germering;;;;
Planegg;31370;LS27039;ja;07.01.2022;Josefine Mättig;22393;Andreas Wagner;Andreas Wagner;Weserblick 10;37619;Hehlen;;;;
Emons;31371;LS27040;ja;07.01.2022;Josefine Mättig;21662;AMAZON POLAND;Attn: Ewa Lach;ul. Amazonska 3c;59-225;Chojnow;;;;
Planegg;31372;LS27041;ja;07.01.2022;Josefine Mättig;22394;Beáta Koltai-Kubatov;Beáta Koltai-Kubatov;144 Szigeti Út;7624;Pécs;;;;
Planegg;31373;LS27042;ja;19.01.2022;Petra Gräf;20801;Regio Capital AG;Regio Capital AG;Luisenstr. 9  / 5.+6.OG;40215;Düsseldorf;;;;
Planegg;31374;LS27043;ja;19.01.2022;Petra Gräf;22395;Förderschule Nieder-Olm;Förderschule Nieder-Olm;Oppenheimer Str. 69;55268;Nieder-Olm;;;;
Planegg;;LS27044;ja;10.01.2022;Josefine Mättig;20633;a-on AG;a-on AG;Grundfeld 6;85445;Oberding;;;;
Planegg;31377;LS27046;ja;07.01.2022;Josefine Mättig;21436;Bureau Veritas;Bureau Veritas Consumer Products;Businesspark A96;86842;Türkheim;;;;
Planegg;31378;LS27047;ja;07.01.2022;Petra Gräf;21421;Bildungszentrum Gesundheitsber;Bildungszentrum für Gesundheitsberufe;Bajuwarenstraße 9  /  1.OG;85435;Erding;;;;
Planegg;31376;LS27048;ja;07.01.2022;Florian Gräf;20413;Lowescher;Lowescher Automaten Catering;Benzstraße 8;48599;Gronau;;;;
Planegg;31379;LS27049;ja;10.01.2022;Josefine Mättig;22396;Anselm Schaffer  David Sährig;Café Sveda Eckladen;Schwedter Str 79;10437;Berlin;;;;
Planegg;31380;LS27050;ja;07.01.2022;Josefine Mättig;21952;Amazon Deutschland E3 Trans.;Amazon Deutschland E3 Transport GmbH;Am Magna Park 12;14542;Werder;;;;
Planegg;30787;.LS26762;ja;28.01.2022;Petra Gräf;20836;Asam Betriebs -1;Asam Betriebs GmbH;Bayerwaldstr. 15;94377;Steinach;;;;
Planegg;;LS27052;ja;07.01.2022;Josefine Mättig;22397;Martin Todt;Martin Todt;Bahnhofstrasse 25;3424;Wolfpassing;;;;
Emons;31382;LS27053;ja;10.01.2022;Florian Gräf;21791;Dallmayr Berlin;Alois Dallmayr Aut. Service GmbH;Seestr. 22;14974;Ludwigsfelde;;;;
Planegg;31383;LS27054;ja;07.01.2022;Florian Gräf;20381;The Water Purifier NV;The Water Purifier NV;Genebroekstraat 82;3581;Beverlo;;;;
Planegg;31384;LS27055;ja;15.03.2022;Florian Gräf;20475;Aquagast Wasseraufbereitu;Aquagast Wasseraufbereitungs-;Hofsteigstraße 112;6858;Schwarzach;;;;
Emons;30913;LS26824.;ja;03.01.2022;Rene Kühn;22096;Yuri Gagarin PLC;Yuri Gagarin PLC;Rogoshko shosse Str. 1;4003;Plovdiv;;;;
Kyffhäuser;31385;LS27057;ja;10.01.2022;Rene Kühn;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;6556;Artern;;;;
Kyffhäuser;31386;LS27058;ja;10.01.2022;Rene Kühn;21204;MB Well Service;MB Well Services GmbH;L1031 in Richtung Iserheiligen;99947;Neunheilingen;;;;
Planegg;;LS27059;ja;10.01.2022;Josefine Mättig;22398;FM-Großküchentechnik;FM-Großküchentechnik;Hermann Allmersstr.34;27798;Hude (Oldenburg);;;;
Planegg;31388;LS27060;ja;10.01.2022;Josefine Mättig;22399;Giorgio Cigolotto;Giorgio Cigolotto;Via delle scuole 27;33100;Udine;;;;
Planegg;;LS27061;ja;10.01.2022;Josefine Mättig;22400;Salmi Hanane;Salmi Hanane;2 allé du moura;64600;Anglet; Rez-de-chaussée;;;
Planegg;31391;LS27062;ja;10.01.2022;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Emons;31392;LS27063;ja;10.01.2022;Christian Irrgang;10124;Crystal Waters;Crystal Waters;Gewerbeparkstraße 15 A;51580;Reichshof;;;;
Planegg;31393;LS27064;ja;10.01.2022;Josefine Mättig;21284;Kempter;Maria-Kempter-Kindergarten;Kempter Straße 1 a;82319;Starnberg - Söcking;;;;
Planegg;31390;LS27065;ja;13.01.2022;Josefine Mättig;22401;Anja Heggli;XeniCamp & Bungalows;Ancient Assini;21056;Tolo;;;;
Emons;31327;LS26939.;ja;02.01.2022;Rene Kühn;22154;Amazon Deutschland E4 Trans.;Amazon Deutschland E4 Transport GmbH;Digitalstraße 2-6;15366;Hoppegarten;;;;
Planegg;;LS27067;ja;10.01.2022;Rene Kühn;22161;Space 44;SPACE 44 GmbH;Paradiesstraße 9;80538;München;;;;
Planegg;31397;LS27068;ja;10.01.2022;Christian Irrgang;20299;GWA;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
Deutscher;;LS27069;ja;10.01.2022;Josefine Mättig;20664;Getränkeautomat B. Jakob;Voestalpine TTG GmbH;Alte Wetzlarer Str. 55;35510;Butzbach;;;;
Planegg;31398;LS27070;ja;10.01.2022;Christian Irrgang;20248;WasserfilterZentrum Ladenkiste;Ladenkiste UG (haftungsbeschränkt);Bahnhofstr. 8;34286;Spangenberg;;;;
Emons;31400;LS27071;ja;10.01.2022;Christian Irrgang;10160;AVALESS;AVALESS Depot Kaarst;Daimlerstr.16;41564;Kaarst;;;;
Emons;31401;LS27072;ja;11.01.2022;Christian Irrgang;10160;AVALESS;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
Planegg;31402;LS27075;ja;10.01.2022;Sönke Rocho;21943;Knotel Frankfurt;ServiceNow GmbH;Börsenstr. 2- 4;  5.OG;60313;Frankfurt;;;
Planegg;31403;LS27076;ja;10.01.2022;Christian Irrgang;20746;Ingenieurbüro Fehlemann;Ingenieurbüro Gereon Fehlemann;Kreuzbergstraße 82;40489;Düsseldorf;;;;
