Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Planegg;118851;LS78221;ja;07.04.2026;Josefine Mättig;26641;Greiner International;Greiner Packaging International GmbH;Gewerbestraße 15,;4642;Sattledt, Austria;;;;
Planegg;;LS78222;ja;27.03.2026;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;118852;LS78223;ja;07.04.2026;Josefine Mättig;20729;CJM Der Wassermann UG -ha;Zeltverleih Münzenberg;Grubenstraße 5;15234;Frankfurt;;;;
Planegg;;LS78224;ja;27.03.2026;Petra Gräf;27218;SFS Steuerberatung;SFS Steuerberatungsgesellschaft mbH;Schillerstraße 1;85221;Dachau;;;;
Planegg;118857;LS78225;ja;31.03.2026;Estaline Philander;24641;Brustdiagnostik München;Brustdiagnostik München;Sonnenstraße 29  /  4.OG;80331;München;;;;
Planegg;118849;LS78226;ja;30.03.2026;Estaline Philander;23850;SE Sustainable Exergy GmbH;SE Sustainable Exergy GmbH;Feldkirchener Straße 12 A;85551;Kirchheim;;;;
Planegg;118858;LS78227;ja;30.03.2026;Estaline Philander;20633;a-on AG;a-on AG;Grundfeld 6;85445;Oberding;;;;
Planegg;;LS78228;nein;27.03.2026;Estaline Philander;22935;Max Cochius GmbH;Max Cochius GmbH;Hohenlindener Str. 6;81677;München;;;;
VST Schörling;118860;LS78229;ja;09.04.2026;Estaline Philander;24238;Agfa;Agfa-Gevaert Healthcare GmbH;Max-Planck-Str. 1;82380;Peißenberg;;;;
Berlin Wein König;118862;LS78231;ja;01.04.2026;Estaline Philander;23043;Reha Spandauer See;Reha- und Gesundheitszentrum Spandauer See;Streitstr. 11 - 13;13587;Berlin;;;;
aboutwater Frankfurt;118864;LS78232;ja;01.04.2026;Estaline Philander;26484;HCC 2;HCC - Hessisches Competence Center;Rödgener Straße 91;35394;Gießen;;;;
Planegg;118865;LS78233;ja;30.03.2026;Josefine Mättig;23160;Esmeyer GmbH & Co. KG;Verwaltung, Heiligendamm;Kinderstrand 1;18209;Heiligendamm;;;;
Planegg;118866;LS78234;ja;30.03.2026;Josefine Mättig;24440;CLAMO;LORAMA;Pasaje Virginia Wolf , nº 39, local 2 /;29010;Málaga;;;;
Schöttle - Haiterbach;118867;LS78235;nein;01.04.2026;Florian Gräf;10034;ewatec;ATX Hardware GmbH West;Waldstraße 15;71139;Ehingen;;;;
Planegg;118868;LS78236;ja;30.03.2026;Florian Gräf;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
Planegg;118869;LS78237;ja;30.03.2026;Max Sanktjohanser;22876;Amazon Deutschland W23 Trans.;Amazon Deutschland W23 Transport GmbH;Marie-Curie-Str. 6;67661;Kaiserslautern;;;;
Planegg;118870;LS78238;ja;30.03.2026;Rene Kühn;26431;Stiftung Haus Hall;Stiftung Haus Hall;Tungerloh Capellen 4;48712;Gescher;;;;
VST Schörling;116886;LS77294.;ja;27.03.2026;Petra Gräf;22726;Agentur für Arbeit Augsburg;Familienkasse Bayern Süd;Otto-Lindenmeyer-Straße 28;86153;Augsburg;;;;
STK Service;118871;LS78240;ja;01.04.2026;Estaline Philander;23686;Falck Duisburg Hattingen Köln;(RW3) Falck Notfallrettung und;Am Leveloh 7;45549;Sprockhövel;;;;
Planegg;118872;LS78241;ja;30.03.2026;Josefine Mättig;26977;Trinkflaschenexpress;Damco Germany GmbH;Goodyearstraße 1;76661;Philippsburg;;;;
Emons;118872;LS78242;ja;30.03.2026;Josefine Mättig;26977;Trinkflaschenexpress;Damco Germany GmbH;Goodyearstraße 1;76661;Philippsburg;;;;
natürlich H2O;118629;LS78063 km;ja;26.03.2026;Petra Gräf;21940;Dt.Gesellsch.f.Auswärtige Poli;Deutsche Gesellschaft für Auswärtige Politik;Rauchstraße 17-18;10787;Berlin;;;;
Planegg;118873;LS78244;ja;30.03.2026;Estaline Philander;21769;WKV;WKV Kunststoffverarbeitung GmbH;Dieselstraße 3;86558;Hohenwart;;;;
AMW Auersperg;118874;LS78245;ja;09.04.2026;Florian Gräf;21583;Living Water GmbH;orka Partnerschaft mbH;Heidestraße 9;10557;Berlin;;;;
Kyffhäuser;118879;LS78247;ja;31.03.2026;Estaline Philander;23343;Falck Rettungswache 31.PLA;Falck Notfallrettung und Katastrophenschutz;Poeppigstraße 6;08529;Plauen;;;;
Kyffhäuser;118880;LS78248;ja;31.03.2026;Estaline Philander;23343;Falck Rettungswache 31.PLA;Falck Notfallrettung und Katastrophenschutz;Herlasgrüner Str. 76;08223;Treuen;;;;
Kyffhäuser;118881;LS78249;ja;31.03.2026;Estaline Philander;23343;Falck Rettungswache 31.PLA;Falck Notfallrettung und Katastrophenschutz;Netzschkauer Str. 13;07985;Elsterberg;;;;
Planegg;118878;LS78250;ja;01.04.2026;Max Sanktjohanser;27389;Klinik Rosenhof;Orthopädisches Rehabilitationszentrum;Brunnaderstraße 24;84364;Bad Birnbach;;;;
Planegg;;LS78252;ja;31.03.2026;Petra Gräf;26124;Knime GmbH;Knime GmbH;Körtestr.10;10967;Berlin;;;;
VST Schörling;118884;LS78253;ja;01.04.2026;Andreas Pöppe;24333;Bayern FM;Bayerische Landesbrandversicherung;Warngauer Str. 30;81539;München;;;;
VST Schörling;118885;LS78254;ja;01.04.2026;Andreas Pöppe;24333;Bayern FM;Bayerische Landesbrandversicherung;Warngauer Str. 30;81539;München;;;;
Planegg;118886;LS78255;ja;07.04.2026;Estaline Philander;24368;Audi Eching;Audi München GmbH;Heisenbergstraße 4;85368;Eching;;;;
Planegg;118900;LS78256;ja;01.04.2026;Sönke Rocho;23185;qards vorm.Bayern Card-Serv;qards GmbH;Georg-Brauchle-Ring 23-25;80992;München;;;;
Strecke;117488;LS78257;ja;30.03.2026;Florian Gräf;26064;CHROMOnorm GmbH;CHROMOnorm GmbH;Balinger Str. 21;72415;Grosselfingen;;;;
Planegg;118887;LS78258;ja;31.03.2026;Estaline Philander;23969;Topos;TOPOS Versicherungskontor GmbH;Scharnweberstr. 130/131;13405;Berlin;;;;
natürlich H2O;118888;LS78259;ja;01.04.2026;Estaline Philander;23969;Topos;TOPOS Versicherungskontor GmbH;Scharnweberstr. 130/131;13405;Berlin;;;;
Planegg;118889;LS78261;nein;07.04.2026;Max Sanktjohanser;27295;Jobcenter Mönchengladbach;Jobcenter Mönchengladbach;Limitenstr. 144-148;41236;Mönchengladbach;;;;
Kyffhäuser;118892;LS78263;ja;30.03.2026;Florian Gräf;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;06556;Artern;;;;
Kyffhäuser;;LS78264;ja;30.03.2026;Florian Gräf;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;06556;Artern;;;;
Planegg;118891;LS78265;ja;30.03.2026;Max Sanktjohanser;26204;Carl Hanser Verlag;Carl Hanser Verlag GmbH & Co. KG;Vilshofener Str. 10;81679;München;;;;
Planegg;;LS78266;ja;01.04.2026;Petra Gräf;27353;Quantum-Frontline-Industries;Quantum-Frontline-Industries GmbH;Galileostr. 502 S;82131;Gauting;;;;
Teamblue Bad Münder;;LS78268;ja;30.03.2026;Florian Gräf;20299;GWA;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
Planegg Rep.Lager;116654;LS77728.;ja;30.03.2026;Petra Gräf;21493;Autodesk;Autodesk GmbH;Balanstr. 71 a;81541;München;;;;
Planegg;118897;LS78270;ja;30.03.2026;Max Sanktjohanser;27390;Kinderzentrum Frankfurt;Kinderzentrum 108;Gerhart-Hauptmann-Ring 400a;60439;Frankfurt am Main;;;;
Planegg;118901;LS78273;nein;10.04.2026;Florian Gräf;20475;Aquagast Wasseraufbereitu;Aquagast Wasseraufbereitungs-;Hofsteigstraße 112;6858;Schwarzach;;;;
Planegg;118898;LS78274;ja;09.04.2026;Max Sanktjohanser;27323;Hochschule Bochum;Hochschule Bochum;Am Hochschulcampus 1;44801;Bochum;;;;
Gänshirt-Aufmbruch;118902;LS78275;nein;01.04.2026;Estaline Philander;23263;BOLL & KIRCH Filterbau GmbH;BOLL & KIRCH Filterbau GmbH;Siemensstr. 10-14;50170;Kerpen;;;;
Deutscher;118898;LS78276;ja;06.04.2026;Max Sanktjohanser;27323;Hochschule Bochum;Hochschule Bochum;Am Hochschulcampus 1;44801;Bochum;;;;
Planegg;118903;LS78277;ja;30.03.2026;Josefine Mättig;26977;Trinkflaschenexpress;Bottle-Print Vertriebs GmbH;Auf den Steinen 2,;37191;Katlenburg Lindau;;;;
Planegg;118904;LS78278;ja;01.04.2026;Max Sanktjohanser;22526;Amazon Deutschland N18 Trans.;Amazon Deutschland N18 Transport GmbH;Am alten Flughafen 1;04356;Leipzig;;;;
Ewatec;110803;LS69691.;ja;25.03.2026;Petra Gräf;25748;Raphael Hertrich & Collegen;Raphael Hertrich & Collegen;Julius-Bührer-Str. 2;78224;Singen;;;;
Gänshirt-Aufmbruch;114851;LS76100 MBU;ja;08.04.2026;Petra Gräf;23338;Le Gastro;Deutsche Post AG;Kleine Ruhrau 16;45279;Essen;;;;
Gänshirt-Aufmbruch;114846;LS76095 MBU;ja;08.04.2026;Petra Gräf;23338;Le Gastro;Deutsche Post AG;Emscherbruchallee 12;45356;Essen;;;;
Gänshirt-Aufmbruch;114857;LS76106 MBU;ja;08.04.2026;Petra Gräf;23338;Le Gastro;ZB Oer-Erkenschwick;Schüttacker 25;45739;Oer-Erkenschwick;;;;
Gänshirt-Aufmbruch;114847;LS76096 MBU;ja;08.04.2026;Petra Gräf;23338;Le Gastro;Deutsche Post AG;Graf-Beust-Allee 2;45141;Essen;;;;
Gänshirt-Aufmbruch;114858;LS76107 MBU;ja;08.04.2026;Petra Gräf;23338;Le Gastro;Deutsche Post AG;Ostpreußenstr. 30;45886;Gelsenkirchen;;;;
Planegg;118920;LS78286;ja;31.03.2026;Estaline Philander;24577;Chronocash GmbH;Chronocash GmbH;Hochbrückenstr. 8;80331;München;;;;
VST Plep;118922;LS78288;ja;01.04.2026;Estaline Philander;24871;Diamond Aircraft Industries;Diamond Aircraft Industries Deutschland GmbH;Hans-Fleißner-Straße 54;63329;Egelsbach;;;;
Planegg;118923;LS78289;ja;02.04.2026;Estaline Philander;24681;BTG Internationale Spedition;BTG Internationale Spedition GmbH;Gewerbering 10;82140;Olching;;;;
Emons;;LS78290;ja;30.03.2026;Christian Irrgang;20500;Automaten Reinhardt -Kesselsdo;Automaten Reinhardt GmbH & Co.KG;Zum Tälchen 5;01723;Kesselsdorf;;;;
Planegg;118905;LS78292;ja;09.04.2026;Max Sanktjohanser;27391;Restaurant Ruckendorfer;Restaurant Ruckendorfer;Joseph-Haydn-Gasse 43;7000;Eisenstadt;;;;
Planegg;;LS78293;ja;30.03.2026;Christian Irrgang;20833;Möbel Werner GmbH & Co.KG;Harald Werner;Bamberger Str. 54;97631;Bad Königshofen;;;;
aboutwater Frankfurt;112984;LS78294;ja;01.04.2026;Carmen Berger;25502;Winthrop Technologies;Winthrop Technologies GmbH;Friesstrasse 16;60388;Frankfurt;;;;
Planegg;118927;LS78295;ja;30.03.2026;Christian Irrgang;20572;MISA-Vertriebs GmbH;MISA-Vertriebs GmbH;Boden 1;85646;Anzing;;;;
aboutwater Frankfurt;;LS78296;ja;01.04.2026;Petra Gräf;23970;Ebury;Ebury Partners Belgium SA/NV;Bleidenstraße 6;60311;Frankfurt am Main;;;;
GWA;118931;LS78297;nein;01.04.2026;Estaline Philander;26238;CSS Europe;Umspannwerk Stendal West;Am Umspannwerk;39576;Stendal;;;;
Emons;118936;LS78298;ja;31.03.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;118934;LS78299;ja;01.04.2026;Max Sanktjohanser;27394;Hedge;Adya Hegde;Märchenstrasse 18;76297;Stutensee;;;;
AMW Auersperg;118942;LS78301;ja;02.04.2026;Florian Gräf;24448;Götze;aap Implantate;Lorenzweg 5;12099;Berlin;;;;
Planegg;118943;LS78302;ja;31.03.2026;Florian Gräf;20299;GWA;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
AQUATRADE Glinde;118944;LS78303;nein;01.04.2026;Estaline Philander;25101;WRENKH;WRENKH KochEvents;Max-Brauer-Allee 251;22769;Hamburg;;;;
AMW Auersperg;118945;LS78304;nein;01.04.2026;Estaline Philander;24405;German Tobacco;German Tobacco GmbH;Rietzer Berg 28;14797;Kloster Lehnin/OT Rietz;;;;
AMW Auersperg;118956;LS78305;ja;01.04.2026;Andreas Pöppe;27325;Humboldt Innovation GmbH;HUMBOLDT-INNOVATION GmbH;Ziegelstraße 30;10117;Berlin;;;;
Planegg;118957;LS78306;ja;31.03.2026;Estaline Philander;24294;Karin Rangger;Lohnbuchhaltungs-Service Karin Rangger;Tölzer Straße 2B;82041;Oberhaching;;;;
Gänshirt-Aufmbruch;118960;LS78307;nein;01.04.2026;Estaline Philander;25562;Eurofins;Eurofins Institut Dr. Rothe GmbH;Otto-Hahn-Str. 15;44227;Dortmund;;;;
STK Service;118961;LS78308;nein;01.04.2026;Estaline Philander;26212;therapiezentrum.com;therapiezentrum.com;Adalbertsteinweg 12-16;52070;Aachen;;;;
CJM;118963;LS78310;nein;01.04.2026;Estaline Philander;27090;BäckerMann;BäckerMann Backwaren und Feinkost GmbH;Südwestkorso 9;12161;Berlin;;;;
Gänshirt-Aufmbruch;118964;LS78311;ja;01.04.2026;Andreas Pöppe;27002;Johanniter-Haus Köln-Zollstock;Johanniter-Haus Köln-Zollstock;Sibille-Hartmann-Straße 1;50969;Köln;;;;
CJM;118965;LS78312;nein;01.04.2026;Estaline Philander;27090;BäckerMann;BäckerMann Backwaren und Feinkost GmbH;Pariser Str. 20;10707;Berlin;;;;
VST Schörling;118969;LS78314;ja;09.04.2026;Sönke Rocho;22000;Heine Optotechnik;HEINE Optotechnik GmbH & Co. KG;Dornierstraße 6;82205;Gilching;;;;
VST Schörling;;LS78315;nein;31.03.2026;Petra Gräf;27278;Kayser+Böttges Architekten;Kayser+Böttges;Infanteriestraße 11a;80797;München;;;;
Emons;118971;LS78316;nein;01.04.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;118972;LS78317;ja;01.04.2026;Josefine Mättig;25861;Ruwisch & Zuck;Ruwisch & Zuck;Hängenstr.11;30559;Hannover;;;;
Bastian;118976;LS78318;nein;14.04.2026;Florian Gräf;22423;Agentur für Arbeit Landshut;Bundesagentur für Arbeit;Leinfelderstr. 6;84034;Landshut;;;;
Planegg;118973;LS78319;nein;31.03.2026;Rene Kühn;26951;Hannes Gutzeit;SV Kehr Hannes Gutzeit 6950;Döttinger Str. 12;79761;Waldshut-Tiengen;;;;
Planegg;118977;LS78320;ja;02.04.2026;Estaline Philander;62398;dm 2398 Augsburg;dm Filiale 2398;Lechhauser Straße 13;86153;Augsburg - Innenstadt;;;;
Planegg;118974;LS78321;ja;01.04.2026;Rene Kühn;27395;DVGW-Forschungsstelle am;DVGW-Forschungsstelle am EBI des KI;Engler-Bunte-Ring 1;76131;Karlsruhe;;;;
Planegg;118978;LS78322;ja;31.03.2026;Florian Gräf;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;06556;Artern;;;;
Planegg;118981;LS78324;nein;01.04.2026;Florian Gräf;21737;Heuser;Heuser GmbH;Waldstr. 23 / B10;63128;Dietzenbach;;;;
aboutwater Frankfurt;118979;LS78325;ja;31.03.2026;Estaline Philander;24735;InA gGmbH;InA gGmbH Integration in Arbeit;Hauptstr. 56;64711;Erbach;;;;
Planegg;;LS78326;ja;31.03.2026;Petra Gräf;20998;Gräf Petra;Petra Gräf;Wolkerweg 13;81375;München;;;;
Planegg;;LS78327;ja;02.04.2026;Estaline Philander;62711;dm 2711 Augsburg;dm Filiale 2711;Brahmsstraße 2;86179;Augsburg - Haunstetten;;;;
Planegg;118975;LS78328;ja;01.04.2026;Max Sanktjohanser;26257;Coffee Box GmbH;Justizvollzugsanstalt Oldenburg Coffee Box;Ölhafendamm 2;26384;Wilhelmshaven;;;;
Planegg;118984;LS78329;ja;01.04.2026;Estaline Philander;22988;TAL 19 AM HARRAS;TAL 19 AM HARRAS;Albert-Roßhaupter-Str. 19;81369;München;;;;
Planegg;118985;LS78330;ja;31.03.2026;Florian Gräf;23986;Mengwein JHM;Änderungs-Schneiderei;Thomas-Mann-Str. 6c;60439;Frankfurt a.M.;;;;
Planegg;118986;LS78331;ja;01.04.2026;Estaline Philander;20849;TTI, Inc.;TTI, Inc.;Junkerstraße 1;82178;Puchheim;;;;
Planegg;118987;LS78332;ja;01.04.2026;Sönke Rocho;25952;Max-Planck-Institut;Max-Planck-Institut;Gießenbachstrasse 1;85748;Garching bei München;;;;
Ewatec;118993;LS78333;nein;01.04.2026;Estaline Philander;20255;rebike 1 GmbH;Rebike Mobility GmbH;Zeppelinstr. 3  / Einfahrt 6;87437;Kempten;;;;
Planegg;118954;LS78335;nein;01.04.2026;Christian Irrgang;21552;AP Ostbayern;AP Ostbayern GmbH;Gewerbegebiet im Haslet 38;93086;Wörth a.d.Donau;;;;
Planegg;118994;LS78336;ja;07.04.2026;Christian Irrgang;25157;Monika Fischer;Monika Fischer;Ferchenbachstr. 176;80995;München;;;;
Planegg;118995;LS78337;ja;02.04.2026;Sönke Rocho;22378;SKI GmbH;SKI GmbH + Co.KG;Lessingstraße 9  / 3.OG;80336;München;;;;
Planegg;119003;LS78338;ja;07.04.2026;Estaline Philander;23966;Elflein Logistik Bamberg;Elflein Logistik Bamberg GmbH;Gutenbergstraße 1 b;85748;Garching;;;;
Kyffhäuser;119004;LS78339;ja;03.04.2026;Estaline Philander;26160;Falck Burkhardtsdorf;Falck Notfallrettung u.Katastrophenschutz;Turmstr. 11 b;09235;Burkhardtsdorf;;;;
Kyffhäuser;;LS78340;ja;03.04.2026;Estaline Philander;26165;Falck Thalheim;Falck Notfallrettung u.Katastrophenschutz;Am Stollen 1;09380;Thalheim;;;;
Planegg;;LS78342;ja;31.03.2026;Petra Gräf;20772;Crystal Water;Crystal Water;Finkenstrasse 11a;85635;Höhenkirchen;;;;
Kyffhäuser;119006;LS78343;ja;03.04.2026;Estaline Philander;26162;Falck Dorfchemnitz;Falck Notfallrettung u.Katastrophenschutz;An den Gütern 5;08297;Dorfchemnitz;;;;
Neumann;119008;LS77665 Physio;ja;30.03.2026;Petra Gräf;20587;Getränke-Service Neumann;Physiotherapie Hirtz;Ährenweg 3;79258;Hartheim am Rhein;;;;
Strecke;116056;LS78345;ja;31.03.2026;Florian Gräf;21583;Living Water GmbH;PropertyExpert GmbH;Ecolab-Allee 1;40789;Monheim;;;;
Planegg;119010;LS78347;ja;01.04.2026;Rene Kühn;27398;ProMetall GmbH;ProMetall GmbH;Eisenbahnstr. 37;70736;Fellbach;;;;
Planegg;113900;LS78348;ja;02.04.2026;Florian Gräf;23816;Groza;Sorin Groza;Rossinistraße 60;85598;Baldham;;;;
AQUATRADE Glinde;119011;LS78349;nein;01.04.2026;Estaline Philander;25831;NSG Dienstleistungs GmbH;NSG Dienstleistungs GmbH;Kieler Straße 675;22527;Hamburg;;;;
Dolphin, Bonstetten;;LS78350;ja;01.04.2026;Florian Gräf;20587;Getränke-Service Neumann;Getränke-Service Neumann;Siemensstraße 12;79108;Freiburg;;;;
Planegg;119014;LS78351;ja;01.04.2026;Josefine Mättig;22124;LGL Haushaltwaren GmbH;LGL Haushaltswaren GmbH;Helferner Weg 14b;49214;Bad Rothenfelde;;;;
Planegg;;LS78352;ja;31.03.2026;Petra Gräf;27399;Dreier + Lauterbach;Dreier + Lauterbach;Schulstr. 46;80634;München;;;;
Planegg;119017;LS78353;ja;02.04.2026;Estaline Philander;61194;dm D21I vorm.1194 Stadtbergen;dm Filiale D21I;Daimlerstraße 1;86391;Stadtbergen;;;;
Planegg;119019;LS78354;ja;31.03.2026;Sönke Rocho;20128;Avendi GmbH;Avendi GmbH;Alpspitzstraße 4;82131;Stockdorf;;;;
Planegg;119020;LS78355;ja;31.03.2026;Christian Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
AQUATRADE Bram;119021;LS78357;ja;09.04.2026;Petra Gräf;27321;Endress+Hauser;Endress+Hauser(Deutschland)GmbH+Co.KG;Vahrenwalder Str. 133;30165;Hannover;;;;
Deutscher;119022;LS78359;ja;01.04.2026;Max Sanktjohanser;26513;lgcgroup;Axolabs Berlin GmbH;Wolfenerstr. 23;12681;Berlin;;;;
Planegg;;LS78360;ja;31.03.2026;Florian Gräf;20117;aboutwater GmbH;aboutwater GmbH;Robert-Koch-Str. 2;82152;Planegg;;;;
Planegg;119032;LS78361;ja;30.03.2026;Christian Irrgang;20191;Gleisner;Brose Fahrzeugteile;Max-Brose 1;71093;Weil im Schönbuch;;;;
Planegg;119033;72183;ja;10.03.2026;Christian Irrgang;20191;Gleisner;Friseursalon St. Lounge;Oberkonnersreuther-Str. 6 A;95448;Bayreuth;;;;
Planegg;;LS78363;ja;07.04.2026;Estaline Philander;26314;Bayerisches Verwaltungsgericht;Bayerisches Verwaltungsgericht Muenchen;Bayerstraße 30;80335;München;;;;
VST Schörling;119035;LS78364;nein;01.04.2026;Florian Gräf;21583;Living Water GmbH;BEN AND GmbH;Georgenstraße 3;80799;München;;;;
VST Plep;119037;LS76301 CO²;ja;01.04.2026;Petra Gräf;26213;Stadt Frankfurt am Main;Stadt Frankfurt am Main -Der Magistrat-;Solmsstraße 27-37;60486;Frankfurt am Main;;;;
VST Plep;;LS76303 CO²;ja;01.04.2026;Petra Gräf;26213;Stadt Frankfurt am Main;Stadt Frankfurt am Main -Der Magistrat-;Solmsstraße 27-37;60486;Frankfurt am Main;;;;
VST Plep;115062;LS78368;ja;01.04.2026;Petra Gräf;26213;Stadt Frankfurt am Main;Stadt Frankfurt am Main -Der Magist;Solmsstraße 27-37;60486;Frankfurt am Main;;;;
Planegg;119040;LS78369;ja;01.04.2026;Josefine Mättig;27169;Good Vibe Bottles;Simon Fortmüller;Alfred-Heinisch-Straße 3/5 Tür 102a;8430;Leibnitz;;;;
STK Service;119041;LS78370;ja;08.04.2026;Estaline Philander;23135;Kaffee Express Rhein Ruhr;Kaffee Express Rhein Ruhr;Weg am Kötterberg 15;44807;Bochum;;;;
Planegg;119043;LS78371;ja;01.04.2026;Florian Gräf;21621;Magnum;Magnum water coffee snack;Wirtswiese 1;57223;Kreuztal;;;;
Planegg;119044;LS78372;ja;01.04.2026;Florian Gräf;25315;Gänshirt-Aufembruch GbR;Gänshirt-Aufmbruch GbR;Dickhausweg 20;40472;Düsseldorf;;;;
Planegg;119042;LS78373;nein;09.04.2026;Max Sanktjohanser;26320;ORGA-SOFT;ORGA-SOFT Organisation und Software GmbH;Nikolaus Kopernikus Str. 7;55129;Mainz;;;;
Planegg;119045;LS78374;ja;01.04.2026;Florian Gräf;21477;Trinkwassertechnik Brengartner;Trinkwassertechnik Süd;Rudolf-Blessing-Str. 3;79183;Waldkirch;;;;
Planegg;119046;LS78375;ja;08.04.2026;Estaline Philander;24848;Grill;Naturheilpraxis Florian Grill;Hohenwaldstrasse 39;82041;Oberhaching;;;;
Planegg;119047;LS78376;ja;01.04.2026;Christian Irrgang;26933;Der Dorfwirt;Der Dorfwirt;Dorfstraße 7;86940;Schwifting;;;;
Planegg;119048;LS78377;ja;01.04.2026;Florian Gräf;26666;Ines Rütz Schankanlagen;Schankanlagen Fachbetrieb;Hasenkamp 20;25482;Appen;;;;
Planegg;119049;LS78378;ja;07.04.2026;Estaline Philander;26248;FOUR Munich Neue Messe;FOUR Munich Neue Messe;Humboldtstraße 12;85609;Dornach;;;;
Planegg;119050;LS78379;ja;01.04.2026;Florian Gräf;25305;Andreas Hess Schanktechnik;Andreas Hess Schanktechnik;Sonnenweg 21;59821;Arnsberg;;;;
Planegg;119051;LS78380;ja;01.04.2026;Florian Gräf;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;06556;Artern;;;;
Planegg;119052;LS78382;ja;01.04.2026;Florian Gräf;20729;CJM Der Wassermann UG -ha;CJM Der Wassermann GmbH;Gronenfelder Weg 33;15234;Frankfurt;;;;
Planegg;119053;LS78383;ja;01.04.2026;Florian Gräf;20847;Schöttle Getränke-Service;Schöttle Getränke-Service GbR;Nagolder Str. 16;72221;Haiterbach;;;;
Planegg;119054;LS78384;ja;01.04.2026;Florian Gräf;20259;STK Service Seiling;STK Service GmbH&Co.KG;Werkstr. 12;59348;Lüdinghausen;;;;
Planegg;119055;LS78385;ja;01.04.2026;Florian Gräf;21199;Trink Oase;Trink Oase GmbH & Co. KG;Steinfurter Straße 37;94353;Haibach;;;;
Planegg;119056;LS78386;ja;01.04.2026;Florian Gräf;20208;Hotshot Kaffee e. K.;Hotshot Kaffee e. K.;Werder Str. 29;45739;Oer-Erkenschwick;;;;
Gänshirt-Aufmbruch;119057;LS78387;ja;13.04.2026;Estaline Philander;26995;Finanzamt Grevenbroich;Finanzamt Grevenbroich;Merkatorstraße 12;41515;Grevenbroich;;;;
Planegg;119058;LS78388;ja;09.04.2026;Estaline Philander;60372;dm 0372 Gersthofen;dm Filiale 0372;Bahnhofstraße 13;86368;Gersthofen;;;;
Planegg;119056;LS78389;ja;10.04.2026;Florian Gräf;20208;Hotshot Kaffee e. K.;Hotshot Kaffee e. K.;Werder Str. 29;45739;Oer-Erkenschwick;;;;
Planegg;;LS78390;ja;01.04.2026;Petra Gräf;20772;Crystal Water;Crystal Water;Finkenstrasse 11a;85635;Höhenkirchen;;;;
natürlich H2O;119059;LS78391;nein;01.04.2026;Estaline Philander;26388;Andriessens Praxis psych.Gesun;Praxis für psych. Gesundheit am Savignyplatz;Ärztehaus  Carmerstr. 7  /  4.OG;10623;Berlin;;;;
Planegg;119061;LS78393;ja;07.04.2026;Estaline Philander;23830;Hofmeister Käsewerk;Hofmeister Käsewerk GmbH & Co. KG;Molkereistraße 23;85368;Moosburg;;;;
aboutwater Frankfurt;119063;LS78395;ja;01.04.2026;Estaline Philander;26484;HCC 2;HCC - Hessisches Competence Center;Stolzenmorgen 36;35394;Gießen;;;;
aboutwater Frankfurt;119064;LS78396;ja;01.04.2026;Estaline Philander;26484;HCC 2;HCC - Hessisches Competence Center;Rödgener Straße 91;35394;Gießen;;;;
Planegg;119065;LS78397;ja;07.04.2026;Estaline Philander;23012;Iyuno;Iyuno Germany GmbH;Lindwurmstraße 88  / 2.+3. OG;80337;München;;;;
AQUATRADE Glinde;119066;LS78398;ja;07.04.2026;Petra Gräf;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
Planegg;119068;LS78400;ja;02.04.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Teamblue Bad Münder;119069;LS78401;nein;02.04.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;119070;LS78402;ja;07.04.2026;Rene Kühn;27359;St. Franziskus Werkstatt Carit;St. Franziskus Werkstatt Caritas;In den Käppeleswiesen 7;72488;Sigmaringen;;;;
Planegg;119072;LS78403;ja;02.04.2026;Florian Gräf;25000;aboutwater Hungary;aboutwater Zrt;Bárándi u 26-28;8000;SZÉKESFEHÉRVÁR;;;;
